sg_uf,ano_arrecadacao,mes_arrecadacao,co_tipo_arrecadacao,va_arrecadacao,DATA_BASE
AC,2018,1,119,102629.99,2018-01-01 00:00:00
AC,2018,1,129,13408881.31,2018-01-01 00:00:00
AC,2018,1,131,15826506.41,2018-01-01 00:00:00
AC,2018,1,132,23482420.87,2018-01-01 00:00:00
AC,2018,1,133,549937.42,2018-01-01 00:00:00
AC,2018,1,134,7283438.72,2018-01-01 00:00:00
AC,2018,1,135,5771559.08,2018-01-01 00:00:00
AC,2018,1,139,52913862.5,2018-01-01 00:00:00
AC,2018,1,211,0,2018-01-01 00:00:00
AC,2018,1,212,13951700.04,2018-01-01 00:00:00
AC,2018,1,219,13951700.04,2018-01-01 00:00:00
AC,2018,1,221,21133459.45,2018-01-01 00:00:00
AC,2018,1,222,6111758.71,2018-01-01 00:00:00
AC,2018,1,229,27245218.16,2018-01-01 00:00:00
AC,2018,1,239,6420393,2018-01-01 00:00:00
AC,2018,1,249,0,2018-01-01 00:00:00
AC,2018,1,399,114042685,2018-01-01 00:00:00
AC,2018,1,409,5144075.61,2018-01-01 00:00:00
AC,2018,1,419,279587.36,2018-01-01 00:00:00
AC,2018,1,429,430103,2018-01-01 00:00:00
AC,2018,1,439,0,2018-01-01 00:00:00
AC,2018,1,499,5853765.97,2018-01-01 00:00:00
AC,2018,1,999,119896450.97,2018-01-01 00:00:00
AC,2018,10,119,160845.34,2018-10-01 00:00:00
AC,2018,10,129,13709425.87,2018-10-01 00:00:00
AC,2018,10,131,19157230.5,2018-10-01 00:00:00
AC,2018,10,132,20055839.09,2018-10-01 00:00:00
AC,2018,10,133,354983.51,2018-10-01 00:00:00
AC,2018,10,134,6938828.36,2018-10-01 00:00:00
AC,2018,10,135,7054668.84,2018-10-01 00:00:00
AC,2018,10,139,53561550.3,2018-10-01 00:00:00
AC,2018,10,211,0,2018-10-01 00:00:00
AC,2018,10,212,15512692.48,2018-10-01 00:00:00
AC,2018,10,219,15512692.48,2018-10-01 00:00:00
AC,2018,10,221,19429865.69,2018-10-01 00:00:00
AC,2018,10,222,5466713.28,2018-10-01 00:00:00
AC,2018,10,229,24896578.97,2018-10-01 00:00:00
AC,2018,10,239,9822409.01,2018-10-01 00:00:00
AC,2018,10,249,0,2018-10-01 00:00:00
AC,2018,10,399,117663501.97,2018-10-01 00:00:00
AC,2018,10,409,4363503.7,2018-10-01 00:00:00
AC,2018,10,419,278652.22,2018-10-01 00:00:00
AC,2018,10,429,724418.3,2018-10-01 00:00:00
AC,2018,10,439,0,2018-10-01 00:00:00
AC,2018,10,499,5366574.22,2018-10-01 00:00:00
AC,2018,10,999,123030076.19,2018-10-01 00:00:00
AC,2018,11,119,66544.24,2018-11-01 00:00:00
AC,2018,11,129,13843703.37,2018-11-01 00:00:00
AC,2018,11,131,20861585.21,2018-11-01 00:00:00
AC,2018,11,132,21948616.04,2018-11-01 00:00:00
AC,2018,11,133,363898.56,2018-11-01 00:00:00
AC,2018,11,134,6861590.55,2018-11-01 00:00:00
AC,2018,11,135,7056650.47,2018-11-01 00:00:00
AC,2018,11,139,57092340.83,2018-11-01 00:00:00
AC,2018,11,211,0,2018-11-01 00:00:00
AC,2018,11,212,20063259.56,2018-11-01 00:00:00
AC,2018,11,219,20063259.56,2018-11-01 00:00:00
AC,2018,11,221,22223935.46,2018-11-01 00:00:00
AC,2018,11,222,6183210.72,2018-11-01 00:00:00
AC,2018,11,229,28407146.18,2018-11-01 00:00:00
AC,2018,11,239,1023578.35,2018-11-01 00:00:00
AC,2018,11,249,0,2018-11-01 00:00:00
AC,2018,11,399,120496572.53,2018-11-01 00:00:00
AC,2018,11,409,2848606.87,2018-11-01 00:00:00
AC,2018,11,419,523134.7,2018-11-01 00:00:00
AC,2018,11,429,629848.47,2018-11-01 00:00:00
AC,2018,11,439,0,2018-11-01 00:00:00
AC,2018,11,499,4001590.04,2018-11-01 00:00:00
AC,2018,11,999,124498162.57,2018-11-01 00:00:00
AC,2018,12,119,258260.15,2018-12-01 00:00:00
AC,2018,12,129,15486030.69,2018-12-01 00:00:00
AC,2018,12,131,25597372.55,2018-12-01 00:00:00
AC,2018,12,132,25733195.62,2018-12-01 00:00:00
AC,2018,12,133,585258.78,2018-12-01 00:00:00
AC,2018,12,134,6829065.46,2018-12-01 00:00:00
AC,2018,12,135,8377802.65,2018-12-01 00:00:00
AC,2018,12,139,67122695.06,2018-12-01 00:00:00
AC,2018,12,211,0,2018-12-01 00:00:00
AC,2018,12,212,116642651.71,2018-12-01 00:00:00
AC,2018,12,219,116642651.71,2018-12-01 00:00:00
AC,2018,12,221,27688563.1,2018-12-01 00:00:00
AC,2018,12,222,5424621.52,2018-12-01 00:00:00
AC,2018,12,229,33113184.62,2018-12-01 00:00:00
AC,2018,12,239,13526835.64,2018-12-01 00:00:00
AC,2018,12,249,0,2018-12-01 00:00:00
AC,2018,12,399,246149657.87,2018-12-01 00:00:00
AC,2018,12,409,1893470.47,2018-12-01 00:00:00
AC,2018,12,419,590521.35,2018-12-01 00:00:00
AC,2018,12,429,676941.17,2018-12-01 00:00:00
AC,2018,12,439,0,2018-12-01 00:00:00
AC,2018,12,499,3160932.99,2018-12-01 00:00:00
AC,2018,12,999,249310590.86,2018-12-01 00:00:00
AC,2018,2,119,89159.89,2018-02-01 00:00:00
AC,2018,2,129,12380829.89,2018-02-01 00:00:00
AC,2018,2,131,14901425.9,2018-02-01 00:00:00
AC,2018,2,132,16272060.11,2018-02-01 00:00:00
AC,2018,2,133,627632.2,2018-02-01 00:00:00
